ally_top,ally_jungle,ally_mid,ally_adc,ally_supp,enemy_top,enemy_jungle,enemy_mid,enemy_adc,enemy_supp,target_win
36,-1,-1,-1,40,-1,-1,134,15,-1,0
-1,234,101,18,40,6,-1,134,15,16,0
-1,234,101,-1,40,6,-1,-1,15,16,0
6,11,134,15,16,36,234,101,18,40,1
-1,11,-1,-1,16,-1,-1,101,-1,-1,1
6,-1,134,-1,16,-1,-1,101,-1,-1,1
-1,11,134,15,16,-1,-1,101,18,-1,1
39,876,4,498,497,875,141,61,145,40,1
-1,876,4,498,497,875,141,61,145,40,1
-1,876,-1,-1,-1,-1,-1,-1,-1,-1,1
39,876,-1,-1,497,875,141,61,-1,-1,1
875,141,61,145,40,39,876,4,498,497,0
875,141,61,-1,40,39,876,-1,-1,-1,0
-1,-1,61,-1,-1,39,-1,-1,-1,497,0
875,141,-1,145,40,39,-1,4,498,-1,0
86,141,4,804,497,82,9,245,498,89,0
86,141,4,804,497,82,9,-1,498,89,0
86,141,4,804,497,82,9,245,-1,89,0
-1,-1,4,804,497,-1,9,245,-1,-1,0
82,9,245,498,89,86,141,4,804,497,1
82,9,245,498,89,86,141,4,804,-1,1
-1,-1,-1,-1,-1,-1,-1,4,804,-1,1
-1,9,-1,-1,-1,-1,-1,-1,-1,-1,1
83,5,711,115,26,777,102,7,21,99,0
-1,5,-1,115,26,777,102,7,21,99,0
-1,5,711,115,26,-1,102,7,-1,99,0
83,5,711,-1,26,777,102,7,-1,99,0
777,102,7,21,99,83,5,711,115,26,1
777,102,7,21,-1,83,5,711,115,26,1
777,102,-1,21,99,83,5,711,115,26,1
777,-1,7,21,99,83,5,711,115,-1,1
98,80,161,15,17,90,107,25,145,518,1
98,80,161,15,17,-1,-1,25,-1,518,1
98,-1,161,-1,17,90,107,-1,145,518,1
98,-1,161,15,17,90,-1,25,145,518,1
90,107,25,145,518,98,80,161,15,17,0
-1,-1,-1,-1,-1,98,-1,-1,-1,-1,0
-1,-1,25,-1,-1,-1,80,161,-1,17,0
-1,107,25,145,518,98,80,161,15,17,0
164,233,800,67,99,86,78,85,18,17,1
164,233,800,-1,99,86,-1,-1,-1,-1,1
-1,-1,-1,67,99,-1,-1,-1,-1,-1,1
164,-1,800,67,99,86,-1,85,18,17,1
86,78,85,18,17,164,233,800,67,99,0
-1,78,-1,-1,17,-1,-1,-1,67,99,0
-1,-1,-1,-1,17,-1,-1,-1,-1,-1,0
-1,-1,-1,18,-1,-1,-1,-1,-1,-1,0
14,106,134,222,53,17,233,105,51,902,1
